"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Curry General Hospital","Gold Beach","Oregon","Government","3","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","17807","Average","Average","16873","Average","Average","0","Unknown","Unknown"
"Samaritan Lebanon Community Hospital","Lebanon","Oregon","Church","3","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","17151","Average","Average","16745","Average","Average","0","Unknown","Unknown"
"St Charles Madras","Madras","Oregon","Private","4","None","None","Above","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","17464","Average","Average","0","Unknown","Unknown"
"Good Shepherd Medical Center","Hermiston","Oregon","Private","3","Same","Same","Same","Same","Same","Same","Same","0","Unknown","Unknown","16135","Average","Average","17795","Average","Average","21082","Average","Average"
"Shriners Hospital For Children-portland","Portland","Oregon","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Geisinger-community Medical Center","Scranton","Pennsylvania","Private","2","Same","Below","Below","Below","Same","Below","Below","23596","Average","Average","17140","Average","Average","19683","Average","Higher","20091","Average","Lower"
"Upmc Mckeesport","Mc Keesport","Pennsylvania","Private","2","Same","Same","Below","Below","Same","Same","None","23605","Average","Average","18492","Average","Higher","20050","Average","Higher","0","Unknown","Unknown"
"Geisinger-bloomsburg Hospital","Bloomsburg","Pennsylvania","Private","4","Same","Same","Above","Above","Same","Same","None","0","Unknown","Unknown","15718","Average","Average","14648","Average","Lower","20273","Average","Average"
"Holy Spirit Hospital","Camp Hill","Pennsylvania","Private","3","Same","Above","Above","Below","Same","Below","Same","23803","Average","Average","18721","Average","Higher","20215","Average","Higher","21655","Average","Average"
"Geisinger Medical Center","Danville","Pennsylvania","Private","2","Below","Below","Below","Above","Above","Below","Same","21182","Average","Lower","16281","Average","Average","17552","Average","Average","21131","Average","Average"
"Ellwood City Medical Center","Ellwood City","Pennsylvania","Proprietary","4","Same","Same","Above","Same","Same","Above","Same","0","Unknown","Unknown","15079","Average","Average","14704","Average","Lower","20337","Average","Average"
"Saint Vincent Hospital","Erie","Pennsylvania","Private","3","Same","Same","Above","Same","Above","Same","Same","25631","Average","Higher","16772","Average","Average","18012","Average","Average","22617","Average","Average"
"Lansdale Hospital","Lansdale","Pennsylvania","Unknown","4","Same","Above","Below","Above","Same","Same","Same","24500","Average","Average","16099","Average","Average","16971","Average","Average","19064","Average","Lower"
"Evangelical Community Hospital","Lewisburg","Pennsylvania","Unknown","4","Same","Above","Below","Above","Same","Below","Same","24119","Average","Average","14845","Average","Lower","18415","Average","Average","18282","Average","Lower"
"Upmc Jameson","New Castle","Pennsylvania","Unknown","1","Same","Same","Below","Below","Same","Below","Below","24757","Average","Average","17646","Average","Average","19190","Average","Higher","23737","Average","Higher"
"Palmerton Hospital","Palmerton","Pennsylvania","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Kensington Hospital","Philadelphia","Pennsylvania","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Chestnut Hill Hospital","Philadelphia","Pennsylvania","Proprietary","3","Same","Above","Below","Same","Same","Same","Same","24409","Average","Average","17240","Average","Average","18808","Worse","Higher","24351","Average","Higher"
"Temple University Hospital","Philadelphia","Pennsylvania","Private","2","Same","Below","Below","Below","Same","Below","Below","25411","Average","Average","17553","Average","Average","18759","Average","Average","23817","Average","Higher"
"Upmc Mercy","Pittsburgh","Pennsylvania","Private","2","Same","Above","Below","Below","Same","Same","Same","23720","Average","Average","17197","Average","Average","20420","Average","Higher","25478","Average","Higher"
"Lehigh Valley Hospital-schuylkill S. Jackson Stree","Pottsville","Pennsylvania","Private","3","Same","Same","Same","None","Same","Same","Same","23152","Average","Average","15883","Average","Average","16218","Average","Average","26622","Average","Higher"
"Allegheny Valley Hospital","Natrona","Pennsylvania","Unknown","2","Same","Same","Below","Below","Same","Same","Same","26666","Average","Average","18170","Average","Average","21111","Average","Higher","24590","Average","Higher"
"St Luke's Quakertown Hospital","Quakertown","Pennsylvania","Private","3","Same","Above","Same","Same","Same","Same","Same","0","Unknown","Unknown","16218","Average","Average","17030","Average","Average","23437","Average","Average"
"Heritage Valley Beaver","Beaver","Pennsylvania","Private","3","Same","Above","Below","Below","Same","Below","Same","25097","Average","Average","18209","Average","Higher","19695","Average","Higher","24609","Average","Higher"
"Heritage Valley Sewickley","Sewickley","Pennsylvania","Private","3","Same","Above","Same","Same","Above","Same","Same","0","Unknown","Unknown","19937","Average","Higher","20018","Average","Higher","21709","Average","Average"
"Somerset Hospital","Somerset","Pennsylvania","Private","3","Same","Below","Same","Same","Same","Above","Same","22993","Average","Average","17510","Average","Average","18259","Average","Average","21277","Average","Average"
"Uniontown Hospital","Uniontown","Pennsylvania","Unknown","2","Same","Below","Below","Same","Same","Same","Below","22841","Average","Average","18059","Average","Average","16812","Average","Average","21563","Average","Average"
"Washington Hospital, The","Washington","Pennsylvania","Private","3","Same","Above","Below","Above","Same","Same","Same","25655","Average","Average","17981","Average","Higher","18001","Average","Average","22518","Average","Average"
"Reading Hospital","Reading","Pennsylvania","Unknown","5","Above","Above","Above","Same","Same","Below","Same","23115","Average","Average","17347","Better","Higher","18477","Better","Higher","19486","Better","Lower"
"Williamsport Regional Medical Center","Williamsport","Pennsylvania","Unknown","3","Same","Below","Above","Same","Same","Below","Same","23391","Average","Average","17294","Average","Average","18728","Average","Higher","19698","Average","Lower"
"York Hospital","York","Pennsylvania","Private","4","Above","Above","Above","Same","Same","Below","Same","25765","Average","Higher","16428","Average","Average","19368","Average","Higher","23918","Average","Higher"
"Geisinger-lewistown Hospital","Lewistown","Pennsylvania","Private","3","Same","Above","Below","Same","Same","Same","Same","23724","Average","Average","16926","Average","Average","16232","Average","Lower","24454","Average","Higher"
"St Luke's Hospital Bethlehem","Bethlehem","Pennsylvania","Private","4","Above","Above","Above","Same","Same","Below","Above","21343","Average","Lower","16934","Average","Average","17339","Average","Average","21536","Average","Average"
"Allegheny General Hospital","Pittsburgh","Pennsylvania","Private","1","Same","Below","Below","Below","Same","Same","Same","25479","Average","Average","19441","Average","Higher","19793","Average","Higher","18622","Average","Lower"
"Penn Highlands Clearfield","Clearfield","Pennsylvania","Unknown","2","Same","Below","Same","Below","Same","Same","Below","25339","Average","Average","16880","Average","Average","16360","Average","Average","24948","Average","Higher"
"J C Blair Memorial Hospital","Huntingdon","Pennsylvania","Unknown","3","Same","Above","Same","Same","Same","Above","Same","0","Unknown","Unknown","16436","Average","Average","17089","Average","Average","20537","Average","Average"
"Grand View Hospital","Sellersville","Pennsylvania","Unknown","4","Above","Below","Above","Above","Same","Same","Same","25129","Average","Average","16853","Average","Average","18309","Average","Average","19636","Average","Lower"
"Carlisle Regional Medical Center","Carlisle","Pennsylvania","Proprietary","4","Same","Above","Above","Same","Same","Below","Same","23570","Average","Average","17741","Average","Average","18536","Average","Average","20010","Average","Lower"
"Lancaster Regional Medical Center","Lancaster","Pennsylvania","Proprietary","2","Same","Below","Same","Same","Same","Below","Same","23079","Average","Average","15080","Average","Average","17818","Average","Average","22112","Average","Average"
"Conemaugh Nason Medical Center","Roaring Spring","Pennsylvania","Private","4","Same","Above","Below","Above","Same","Same","None","0","Unknown","Unknown","16196","Average","Average","15230","Average","Lower","19769","Average","Lower"
"Upmc Hamot","Erie","Pennsylvania","Private","2","Below","Above","Below","Below","Same","Above","Same","24633","Average","Average","18207","Average","Higher","19906","Average","Higher","24000","Average","Higher"
"Gettysburg Hospital","Gettysburg","Pennsylvania","Unknown","4","Same","Above","Above","Same","Same","Same","Below","23010","Average","Average","16222","Average","Average","18039","Average","Average","20422","Average","Lower"
"Good Samaritan Hospital","Lebanon","Pennsylvania","Unknown","3","Below","Above","Above","Below","Same","Below","Same","20241","Average","Lower","15798","Average","Average","18053","Average","Average","22218","Worse","Average"
"Pinnacle Health Hospitals","Harrisburg","Pennsylvania","Unknown","3","Same","Same","Below","Same","Same","Below","Same","21774","Average","Lower","17137","Average","Average","19501","Average","Higher","19894","Average","Lower"
"Heart Of Lancaster Medical Center","Lititz","Pennsylvania","Proprietary","3","Same","Same","Below","Same","Same","Same","None","0","Unknown","Unknown","17065","Average","Average","16594","Average","Average","0","Unknown","Unknown"
"Lower Bucks Hospital","Bristol","Pennsylvania","Proprietary","3","Same","Above","Below","Below","Same","Same","None","24774","Average","Average","18464","Average","Average","19875","Average","Higher","0","Unknown","Unknown"
"Lock Haven Hospital","Lock Haven","Pennsylvania","Proprietary","3","Same","None","Above","Below","Same","Same","None","0","Unknown","Unknown","15880","Average","Average","17496","Average","Average","0","Unknown","Unknown"
"Berwick Hospital Center","Berwick","Pennsylvania","Proprietary","2","Same","Same","Same","Below","Same","Same","None","21880","Average","Average","15771","Average","Average","17286","Average","Average","22515","Average","Average"
"Upmc Altoona","Altoona","Pennsylvania","Private","2","Below","Above","Below","Below","Same","Below","Same","26018","Average","Higher","18400","Average","Higher","22092","Average","Higher","24479","Average","Higher"
"Brandywine Hospital","Coatesville","Pennsylvania","Proprietary","2","Same","Below","Below","Below","Same","Same","Same","25572","Average","Average","17784","Average","Average","17630","Average","Average","22358","Average","Average"
"Robert Packer Hospital","Sayre","Pennsylvania","Unknown","2","Same","Same","Below","Below","Same","Below","Same","22332","Better","Lower","16778","Average","Average","16491","Average","Lower","20793","Average","Lower"
"Jeanes Hospital","Philadelphia","Pennsylvania","Private","4","Above","Same","Same","Same","Below","Same","Same","24487","Average","Average","17436","Better","Average","16806","Average","Average","23341","Average","Average"
"Delaware County Memorial Hospital","Drexel Hill","Pennsylvania","Private","2","Same","Above","Below","Below","Same","Below","Same","24719","Average","Average","19425","Average","Higher","20306","Worse","Higher","23063","Average","Average"
"Sunbury Community Hospital","Sunbury","Pennsylvania","Proprietary","3","Same","None","Same","Same","Same","Same","None","0","Unknown","Unknown","15947","Average","Average","17942","Average","Average","0","Unknown","Unknown"
"Penn Highlands Dubois","Dubois","Pennsylvania","Unknown","3","Same","Same","Below","Below","Above","Same","Above","23407","Average","Average","17184","Average","Average","16401","Average","Average","18819","Average","Lower"
"West Penn Hospital","Pittsburgh","Pennsylvania","Private","3","Same","Above","Below","Above","Below","Same","None","27651","Average","Higher","18345","Average","Average","21367","Average","Higher","21494","Average","Average"
"Upmc Northwest","Seneca","Pennsylvania","Unknown","3","Same","Above","Below","Below","Same","Above","Same","24493","Average","Average","16188","Average","Average","16641","Average","Average","22025","Average","Average"
